"Cancer Site Comparison"
"Recent Trends in U.S. Age-Adjusted Mortality Rates, 2000-2024"
"By Cancer Site, Both Sexes, All Races / Ethnicities, All Ages"

"","All Cancer Sites Combined","All Cancer Sites Combined","All Cancer Sites Combined","All Cancer Sites Combined","Anus, Anal Canal &amp; Anorectum","Anus, Anal Canal &amp; Anorectum","Anus, Anal Canal &amp; Anorectum","Anus, Anal Canal &amp; Anorectum","Bones and Joints","Bones and Joints","Bones and Joints","Bones and Joints","Brain and Other Nervous System","Brain and Other Nervous System","Brain and Other Nervous System","Brain and Other Nervous System","Female Breast","Female Breast","Female Breast","Female Breast","Cervix Uteri","Cervix Uteri","Cervix Uteri","Cervix Uteri","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Corpus and Uterus, NOS","Corpus and Uterus, NOS","Corpus and Uterus, NOS","Corpus and Uterus, NOS","Esophagus","Esophagus","Esophagus","Esophagus","Eye and Orbit","Eye and Orbit","Eye and Orbit","Eye and Orbit","Gallbladder","Gallbladder","Gallbladder","Gallbladder","Hodgkin Lymphoma","Hodgkin Lymphoma","Hodgkin Lymphoma","Hodgkin Lymphoma","Kidney and Renal Pelvis","Kidney and Renal Pelvis","Kidney and Renal Pelvis","Kidney and Renal Pelvis","Larynx","Larynx","Larynx","Larynx","Leukemia","Leukemia","Leukemia","Leukemia","Acute Lymphocytic Leukemia (ALL)","Acute Lymphocytic Leukemia (ALL)","Acute Lymphocytic Leukemia (ALL)","Acute Lymphocytic Leukemia (ALL)","Chronic Lymphocytic Leukemia (CLL)","Chronic Lymphocytic Leukemia (CLL)","Chronic Lymphocytic Leukemia (CLL)","Chronic Lymphocytic Leukemia (CLL)","Acute Myeloid Leukemia (AML)","Acute Myeloid Leukemia (AML)","Acute Myeloid Leukemia (AML)","Acute Myeloid Leukemia (AML)","Chronic Myeloid Leukemia (CML)","Chronic Myeloid Leukemia (CML)","Chronic Myeloid Leukemia (CML)","Chronic Myeloid Leukemia (CML)","Acute Monocytic Leukemia (AML-M5)","Acute Monocytic Leukemia (AML-M5)","Acute Monocytic Leukemia (AML-M5)","Acute Monocytic Leukemia (AML-M5)","Liver and Intrahepatic Bile Duct","Liver and Intrahepatic Bile Duct","Liver and Intrahepatic Bile Duct","Liver and Intrahepatic Bile Duct","Lung and Bronchus","Lung and Bronchus","Lung and Bronchus","Lung and Bronchus","Melanoma of the Skin","Melanoma of the Skin","Melanoma of the Skin","Melanoma of the Skin","Myeloma","Myeloma","Myeloma","Myeloma","Non-Hodgkin Lymphoma","Non-Hodgkin Lymphoma","Non-Hodgkin Lymphoma","Non-Hodgkin Lymphoma","Oral Cavity and Pharynx","Oral Cavity and Pharynx","Oral Cavity and Pharynx","Oral Cavity and Pharynx","Lip","Lip","Lip","Lip","Tongue","Tongue","Tongue","Tongue","Salivary Gland","Salivary Gland","Salivary Gland","Salivary Gland","Floor of Mouth","Floor of Mouth","Floor of Mouth","Floor of Mouth","Gum &amp; other mouth","Gum &amp; other mouth","Gum &amp; other mouth","Gum &amp; other mouth","Oropharynx &amp; Tonsil","Oropharynx &amp; Tonsil","Oropharynx &amp; Tonsil","Oropharynx &amp; Tonsil","Ovary","Ovary","Ovary","Ovary","Pancreas","Pancreas","Pancreas","Pancreas","Prostate","Prostate","Prostate","Prostate","Small Intestine","Small Intestine","Small Intestine","Small Intestine","Soft Tissue including Heart","Soft Tissue including Heart","Soft Tissue including Heart","Soft Tissue including Heart","Stomach","Stomach","Stomach","Stomach","Testis","Testis","Testis","Testis","Thyroid","Thyroid","Thyroid","Thyroid","Urinary Bladder (Invasive &amp; In Situ)","Urinary Bladder (Invasive &amp; In Situ)","Urinary Bladder (Invasive &amp; In Situ)","Urinary Bladder (Invasive &amp; In Situ)","Vagina","Vagina","Vagina","Vagina","Vulva","Vulva","Vulva","Vulva"
"Year of Death","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","198.8611","198.3372","199.3861","199.5217","0.1768","0.1615","0.1931","0.1724","0.4330","0.4089","0.4581","0.4405","4.5279","4.4493","4.6075","4.5404","26.6467","26.3907","26.9046","26.6878","2.7849","2.7010","2.8707","2.7838","20.7056","20.5365","20.8757","20.7600","4.1081","4.0089","4.2091","4.1160","4.3898","4.3123","4.4683","4.4101","0.0849","0.0744","0.0964","0.0857","0.7013","0.6704","0.7331","0.6853","0.4588","0.4340","0.4845","0.4977","4.2160","4.1400","4.2930","4.2645","1.3856","1.3422","1.4300","1.3676","7.6929","7.5901","7.7967","7.6599","0.4971","0.4713","0.5239","0.4961","1.5641","1.5178","1.6115","1.5882","2.6579","2.5977","2.7191","2.7426","0.6458","0.6163","0.6763","0.6544","0.0413","0.0341","0.0496","0.0421","4.6365","4.5568","4.7172","4.6190","55.8051","55.5280","56.0833","55.9298","2.6621","2.6018","2.7234","2.6649","3.8252","3.7528","3.8986","3.8798","8.1649","8.0591","8.2718","8.1604","2.6909","2.6303","2.7526","2.7369","0.0240","0.0186","0.0305","0.0237","0.6340","0.6048","0.6643","0.6444","0.2388","0.2209","0.2577","0.2446","0.0549","0.0465","0.0643","0.0569","0.4378","0.4135","0.4632","0.4307","0.3820","0.3594","0.4057","0.4054","8.8893","8.7423","9.0382","8.9405","10.5525","10.4321","10.6740","10.5353","30.8146","30.4625","31.1695","30.8281","0.3798","0.3573","0.4034","0.3715","1.3231","1.2808","1.3665","1.3249","4.5515","4.4724","4.6315","4.5483","0.2460","0.2203","0.2739","0.2523","0.4781","0.4527","0.5045","0.4630","4.3321","4.2549","4.4104","4.3697","0.2491","0.2253","0.2748","0.2403","0.4486","0.4169","0.4822","0.4419"
"2001","196.3576","195.8405","196.8757","196.4981","0.1807","0.1653","0.1970","0.1778","0.4572","0.4327","0.4828","0.4400","4.4452","4.3679","4.5235","4.4831","26.0178","25.7665","26.2710","26.1384","2.6738","2.5921","2.7573","2.6707","20.1947","20.0288","20.3615","20.1525","4.1772","4.0779","4.2783","4.1297","4.4336","4.3562","4.5119","4.4054","0.0803","0.0701","0.0914","0.0826","0.7000","0.6694","0.7316","0.6790","0.4656","0.4408","0.4914","0.4819","4.2742","4.1983","4.3512","4.2311","1.3424","1.3000","1.3858","1.3369","7.6421","7.5403","7.7450","7.5880","0.5040","0.4783","0.5308","0.4919","1.5664","1.5203","1.6135","1.5657","2.7432","2.6824","2.8050","2.7489","0.5836","0.5558","0.6125","0.5655","0.0422","0.0350","0.0505","0.0406","4.7197","4.6399","4.8004","4.7464","55.2794","55.0053","55.5546","55.3122","2.6645","2.6047","2.7254","2.6702","3.8010","3.7293","3.8737","3.8130","7.9050","7.8015","8.0094","7.8949","2.7207","2.6602","2.7822","2.6993","0.0274","0.0216","0.0343","0.0234","0.6407","0.6116","0.6708","0.6409","0.2432","0.2253","0.2621","0.2428","0.0477","0.0400","0.0564","0.0528","0.4194","0.3958","0.4440","0.4196","0.4242","0.4005","0.4488","0.4086","9.0019","8.8549","9.1508","8.9574","10.5702","10.4505","10.6910","10.5756","29.9353","29.5914","30.2819","29.7845","0.3833","0.3608","0.4069","0.3706","1.2869","1.2455","1.3294","1.2833","4.3727","4.2958","4.4506","4.4007","0.2423","0.2169","0.2700","0.2521","0.4794","0.4542","0.5057","0.4684","4.3543","4.2774","4.4322","4.3756","0.2317","0.2089","0.2563","0.2375","0.4507","0.4192","0.4841","0.4472"
"2002","194.4395","193.9288","194.9512","193.5203","0.1866","0.1712","0.2031","0.1833","0.4140","0.3908","0.4381","0.4395","4.4515","4.3747","4.5292","4.4265","25.6286","25.3813","25.8776","25.6004","2.5531","2.4738","2.6343","2.5622","19.7996","19.6366","19.9636","19.5627","4.1690","4.0704","4.2695","4.1435","4.4117","4.3352","4.4892","4.4008","0.0835","0.0733","0.0948","0.0797","0.6665","0.6369","0.6971","0.6727","0.4703","0.4455","0.4961","0.4666","4.2327","4.1577","4.3087","4.1979","1.2913","1.2501","1.3335","1.3070","7.5506","7.4501","7.6522","7.5169","0.4979","0.4725","0.5244","0.4878","1.5623","1.5166","1.6089","1.5435","2.7615","2.7010","2.8231","2.7553","0.4772","0.4522","0.5032","0.4886","0.0401","0.0331","0.0481","0.0392","4.8805","4.8000","4.9620","4.8774","54.9649","54.6937","55.2372","54.7014","2.6119","2.5531","2.6717","2.6755","3.8115","3.7402","3.8837","3.7474","7.6486","7.5475","7.7506","7.6381","2.6826","2.6231","2.7431","2.6622","0.0261","0.0205","0.0328","0.0232","0.6538","0.6246","0.6840","0.6374","0.2524","0.2343","0.2715","0.2410","0.0513","0.0433","0.0602","0.0490","0.4024","0.3795","0.4264","0.4088","0.4281","0.4046","0.4526","0.4118","9.0355","8.8892","9.1835","8.9744","10.5616","10.4428","10.6814","10.6161","29.1627","28.8261","29.5019","28.7762","0.3542","0.3328","0.3767","0.3697","1.2356","1.1953","1.2769","1.2431","4.2612","4.1858","4.3376","4.2579","0.2850","0.2572","0.3150","0.2519","0.4775","0.4525","0.5036","0.4738","4.4341","4.3570","4.5122","4.3815","0.2254","0.2031","0.2496","0.2347","0.4625","0.4306","0.4961","0.4526"
"2003","190.9745","190.4724","191.4777","190.5876","0.1886","0.1732","0.2050","0.1891","0.4328","0.4092","0.4574","0.4390","4.4014","4.3256","4.4781","4.3706","25.2793","25.0357","25.5248","25.0734","2.4872","2.4095","2.5667","2.4582","19.1859","19.0267","19.3460","18.9902","4.1407","4.0431","4.2402","4.1573","4.3803","4.3048","4.4569","4.3961","0.0789","0.0690","0.0898","0.0769","0.6568","0.6277","0.6869","0.6665","0.4625","0.4381","0.4879","0.4518","4.1952","4.1213","4.2702","4.1650","1.2877","1.2470","1.3295","1.2777","7.4555","7.3562","7.5557","7.4464","0.4915","0.4663","0.5177","0.4836","1.5515","1.5063","1.5977","1.5216","2.7958","2.7352","2.8573","2.7616","0.4244","0.4010","0.4488","0.4222","0.0418","0.0347","0.0500","0.0378","5.0166","4.9357","5.0985","5.0120","54.1548","53.8876","54.4229","54.0974","2.6686","2.6096","2.7285","2.6808","3.7161","3.6463","3.7869","3.6829","7.3784","7.2798","7.4779","7.3896","2.6418","2.5833","2.7013","2.6257","0.0251","0.0196","0.0316","0.0230","0.6363","0.6078","0.6658","0.6339","0.2384","0.2210","0.2569","0.2392","0.0496","0.0419","0.0584","0.0454","0.4019","0.3792","0.4256","0.3983","0.4157","0.3928","0.4396","0.4150","8.8669","8.7232","9.0124","8.9914","10.5501","10.4324","10.6689","10.6567","27.6002","27.2774","27.9256","27.8021","0.3649","0.3433","0.3875","0.3688","1.2491","1.2089","1.2904","1.2515","4.1583","4.0844","4.2332","4.1198","0.2492","0.2232","0.2773","0.2517","0.4485","0.4245","0.4735","0.4793","4.3071","4.2317","4.3834","4.3874","0.2269","0.2048","0.2508","0.2319","0.4490","0.4177","0.4820","0.4580"
"2004","186.9269","186.4335","187.4212","187.6994","0.1971","0.1815","0.2138","0.1950","0.4386","0.4151","0.4632","0.4385","4.3054","4.2309","4.3807","4.3155","24.4980","24.2597","24.7380","24.5572","2.4171","2.3408","2.4951","2.4404","18.1333","17.9797","18.2880","18.4345","4.1383","4.0412","4.2371","4.1712","4.3579","4.2832","4.4336","4.3915","0.0705","0.0612","0.0808","0.0742","0.6565","0.6275","0.6865","0.6603","0.4300","0.4066","0.4543","0.4374","4.1335","4.0605","4.2073","4.1323","1.2240","1.1846","1.2644","1.2491","7.3015","7.2039","7.4000","7.3765","0.4662","0.4418","0.4916","0.4795","1.4820","1.4381","1.5269","1.5000","2.7825","2.7225","2.8435","2.7680","0.3958","0.3733","0.4193","0.3936","0.0338","0.0274","0.0411","0.0364","5.1258","5.0447","5.2079","5.1502","53.3301","53.0667","53.5945","53.5000","2.6716","2.6130","2.7312","2.6861","3.5776","3.5096","3.6467","3.6195","7.0928","6.9968","7.1898","7.1492","2.6103","2.5526","2.6690","2.5896","0.0252","0.0198","0.0317","0.0228","0.6253","0.5973","0.6543","0.6304","0.2365","0.2192","0.2548","0.2374","0.0403","0.0334","0.0481","0.0421","0.3947","0.3723","0.4180","0.3880","0.4125","0.3898","0.4361","0.4182","8.7837","8.6416","8.9277","8.8005","10.7076","10.5898","10.8263","10.6974","26.6109","26.2970","26.9273","26.8609","0.3746","0.3529","0.3973","0.3678","1.2535","1.2135","1.2945","1.2599","4.0103","3.9383","4.0834","3.9861","0.2517","0.2261","0.2795","0.2515","0.4755","0.4510","0.5011","0.4848","4.4324","4.3565","4.5094","4.3933","0.2406","0.2178","0.2651","0.2292","0.4613","0.4297","0.4946","0.4635"
"2005","185.3164","184.8292","185.8047","184.8549","0.1899","0.1748","0.2061","0.2011","0.4638","0.4397","0.4890","0.4380","4.3419","4.2676","4.4170","4.2610","24.1467","23.9121","24.3832","24.0517","2.4210","2.3452","2.4986","2.4227","17.6011","17.4510","17.7521","17.8950","4.1202","4.0242","4.2179","4.1851","4.4369","4.3620","4.5127","4.3869","0.0834","0.0734","0.0944","0.0756","0.6602","0.6314","0.6900","0.6542","0.4241","0.4011","0.4482","0.4235","4.1286","4.0563","4.2018","4.0999","1.2442","1.2047","1.2846","1.2212","7.2651","7.1685","7.3628","7.3073","0.4905","0.4656","0.5164","0.4755","1.4725","1.4291","1.5168","1.4787","2.7591","2.6997","2.8194","2.7744","0.3569","0.3357","0.3790","0.3670","0.0348","0.0284","0.0421","0.0351","5.2667","5.1852","5.3491","5.2255","52.8157","52.5555","53.0768","52.9092","2.7571","2.6980","2.8172","2.6914","3.5737","3.5062","3.6421","3.5572","6.9469","6.8526","7.0421","6.9167","2.5342","2.4779","2.5914","2.5540","0.0199","0.0151","0.0256","0.0226","0.6356","0.6075","0.6646","0.6270","0.2316","0.2148","0.2495","0.2356","0.0434","0.0363","0.0514","0.0391","0.3686","0.3472","0.3909","0.3780","0.4207","0.3981","0.4443","0.4214","8.6608","8.5208","8.8026","8.6137","10.8328","10.7154","10.9513","10.7384","25.7915","25.4875","26.0980","25.9516","0.3694","0.3480","0.3918","0.3669","1.2746","1.2345","1.3157","1.2684","3.8248","3.7550","3.8956","3.8568","0.2506","0.2250","0.2783","0.2513","0.4853","0.4606","0.5109","0.4904","4.4262","4.3509","4.5025","4.3992","0.2156","0.1944","0.2387","0.2265","0.4549","0.4238","0.4877","0.4691"
"2006","182.1193","181.6402","182.5994","182.0535","0.1999","0.1844","0.2163","0.2073","0.4409","0.4175","0.4652","0.4374","4.1709","4.0987","4.2439","4.2072","23.5621","23.3320","23.7940","23.5566","2.4243","2.3488","2.5016","2.4052","17.3179","17.1704","17.4664","17.3713","4.2288","4.1321","4.3272","4.1990","4.4058","4.3319","4.4807","4.3823","0.0713","0.0621","0.0815","0.0770","0.6518","0.6234","0.6811","0.6482","0.4379","0.4145","0.4622","0.4101","4.0050","3.9343","4.0765","4.0678","1.2240","1.1853","1.2637","1.1938","7.2351","7.1394","7.3317","7.2388","0.4610","0.4370","0.4860","0.4715","1.4771","1.4341","1.5211","1.4577","2.8023","2.7429","2.8627","2.7808","0.3520","0.3312","0.3738","0.3421","0.0284","0.0227","0.0352","0.0339","5.2954","5.2145","5.3772","5.3019","51.6885","51.4331","51.9449","51.7350","2.7358","2.6774","2.7951","2.6967","3.4981","3.4319","3.5653","3.4960","6.7411","6.6490","6.8343","6.6917","2.4776","2.4223","2.5338","2.5190","0.0169","0.0126","0.0223","0.0223","0.6114","0.5841","0.6396","0.6236","0.2276","0.2109","0.2452","0.2338","0.0359","0.0296","0.0432","0.0363","0.3583","0.3374","0.3802","0.3683","0.4127","0.3904","0.4358","0.4247","8.5646","8.4263","8.7046","8.4309","10.8598","10.7431","10.9774","10.7794","24.6362","24.3436","24.9312","25.0731","0.3553","0.3345","0.3772","0.3660","1.2890","1.2489","1.3300","1.2770","3.6958","3.6277","3.7647","3.7316","0.2476","0.2223","0.2750","0.2511","0.4960","0.4713","0.5217","0.4960","4.4159","4.3413","4.4914","4.4052","0.2219","0.2004","0.2452","0.2239","0.4737","0.4423","0.5068","0.4748"
"2007","179.3352","178.8639","179.8074","179.2946","0.2020","0.1866","0.2184","0.2138","0.4410","0.4177","0.4652","0.4369","4.2097","4.1377","4.2826","4.2334","22.9685","22.7432","23.1955","23.0717","2.4154","2.3404","2.4922","2.3878","16.9377","16.7932","17.0831","16.8629","4.1984","4.1027","4.2958","4.2131","4.2718","4.1997","4.3448","4.3341","0.0806","0.0708","0.0913","0.0784","0.6107","0.5835","0.6389","0.6422","0.4124","0.3899","0.4359","0.3970","4.0197","3.9497","4.0907","4.0359","1.1368","1.0998","1.1746","1.1671","7.0827","6.9887","7.1776","7.1709","0.4668","0.4427","0.4919","0.4675","1.4397","1.3976","1.4827","1.4371","2.7632","2.7046","2.8228","2.7873","0.3149","0.2954","0.3353","0.3190","0.0307","0.0248","0.0376","0.0327","5.3708","5.2902","5.4525","5.3794","50.6726","50.4219","50.9243","50.5869","2.6849","2.6276","2.7432","2.7021","3.4874","3.4218","3.5540","3.4358","6.5898","6.4994","6.6811","6.5603","2.5246","2.4694","2.5807","2.4844","0.0208","0.0161","0.0265","0.0221","0.6329","0.6054","0.6612","0.6202","0.2364","0.2196","0.2542","0.2321","0.0325","0.0264","0.0395","0.0337","0.3519","0.3313","0.3734","0.3588","0.4347","0.4122","0.4583","0.4280","8.2525","8.1180","8.3887","8.2519","10.8451","10.7295","10.9615","10.8207","24.6276","24.3391","24.9184","24.2243","0.3416","0.3215","0.3628","0.3651","1.2863","1.2466","1.3270","1.2856","3.6424","3.5754","3.7104","3.6106","0.2252","0.2011","0.2514","0.2509","0.4980","0.4734","0.5235","0.5018","4.4493","4.3750","4.5244","4.4111","0.2068","0.1862","0.2292","0.2213","0.4700","0.4388","0.5029","0.4805"
"2008","176.3980","175.9348","176.8621","176.5775","0.2198","0.2039","0.2366","0.2205","0.4315","0.4087","0.4553","0.4364","4.2751","4.2032","4.3479","4.2597","22.5583","22.3366","22.7817","22.5967","2.3722","2.2983","2.4479","2.3705","16.4929","16.3515","16.6352","16.3694","4.2150","4.1202","4.3115","4.2271","4.2203","4.1493","4.2921","4.2865","0.0815","0.0718","0.0921","0.0799","0.6175","0.5903","0.6456","0.6362","0.3741","0.3528","0.3964","0.3844","3.9879","3.9188","4.0579","4.0043","1.1521","1.1153","1.1899","1.1409","7.0949","7.0017","7.1890","7.1037","0.4563","0.4327","0.4808","0.4635","1.3836","1.3428","1.4254","1.4167","2.8326","2.7738","2.8924","2.7937","0.3145","0.2952","0.3348","0.3176","0.0304","0.0245","0.0372","0.0315","5.5702","5.4889","5.6525","5.5637","49.5549","49.3093","49.8015","49.4643","2.6859","2.6290","2.7437","2.7074","3.3232","3.2598","3.3876","3.3767","6.4119","6.3235","6.5012","6.4316","2.4543","2.4004","2.5091","2.4502","0.0219","0.0170","0.0278","0.0219","0.6070","0.5804","0.6346","0.6168","0.2243","0.2081","0.2415","0.2304","0.0302","0.0245","0.0369","0.0312","0.3602","0.3396","0.3818","0.3495","0.4374","0.4150","0.4606","0.4313","7.9765","7.8452","8.1096","8.0767","10.9642","10.8491","11.0802","10.8621","23.3906","23.1137","23.6698","23.4043","0.3724","0.3514","0.3943","0.3642","1.2881","1.2486","1.3285","1.2943","3.5508","3.4853","3.6173","3.5378","0.2447","0.2197","0.2718","0.2507","0.5175","0.4926","0.5433","0.5075","4.4162","4.3430","4.4904","4.4170","0.2263","0.2048","0.2496","0.2187","0.4927","0.4610","0.5261","0.4863"
