"Pancreas"
"Recent Trends in SEER Incidence (2000-2023) and U.S. Mortality (2000-2024) Rates"
"By Rate Type, Both Sexes, All Races / Ethnicities, All Ages"

"","Observed SEER Incidence Rate","Observed SEER Incidence Rate","Observed SEER Incidence Rate","Observed SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","Delay-adjusted SEER Incidence Rate","U.S. Mortality Rate","U.S. Mortality Rate","U.S. Mortality Rate","U.S. Mortality Rate"
"Year of Diagnosis/Death","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","11.6026","11.4088","11.7989","11.5594","11.6026","11.4088","11.7989","11.5513","10.5525","10.4321","10.6740","10.5353"
"2001","11.5943","11.4019","11.7890","11.6579","11.5943","11.4019","11.7890","11.6516","10.5702","10.4505","10.6910","10.5756"
"2002","11.7734","11.5810","11.9682","11.7573","11.7734","11.5810","11.9682","11.7528","10.5616","10.4428","10.6814","10.6161"
"2003","11.7379","11.5474","11.9307","11.8575","11.7379","11.5474","11.9307","11.8549","10.5501","10.4324","10.6689","10.6567"
"2004","11.9602","11.7694","12.1532","11.9585","11.9602","11.7694","12.1532","11.9579","10.7076","10.5898","10.8263","10.6974"
"2005","12.1308","11.9401","12.3237","12.0604","12.1308","11.9401","12.3237","12.0618","10.8328","10.7154","10.9513","10.7384"
"2006","12.0804","11.8914","12.2716","12.1632","12.0804","11.8914","12.2716","12.1666","10.8598","10.7431","10.9774","10.7794"
"2007","12.2933","12.1045","12.4844","12.2669","12.2933","12.1045","12.4844","12.2723","10.8451","10.7295","10.9615","10.8207"
"2008","12.5578","12.3689","12.7488","12.3714","12.5578","12.3689","12.7488","12.3789","10.9642","10.8491","11.0802","10.8621"
"2009","12.4893","12.3025","12.6782","12.4769","12.4893","12.3025","12.6782","12.4865","10.8385","10.7251","10.9528","10.9036"
"2010","12.6122","12.4262","12.8003","12.5832","12.6122","12.4262","12.8003","12.5950","10.9880","10.8748","11.1021","10.9453"
"2011","12.6325","12.4481","12.8189","12.6904","12.6325","12.4481","12.8189","12.7044","10.9172","10.8053","11.0300","10.9872"
"2012","12.8018","12.6184","12.9871","12.7986","12.8018","12.6184","12.9871","12.8147","11.0758","10.9643","11.1882","11.0292"
"2013","12.8468","12.6652","13.0303","12.9076","12.8468","12.6652","13.0303","12.9261","10.9135","10.8039","11.0240","11.0714"
"2014","13.0325","12.8515","13.2155","13.0176","13.0325","12.8515","13.2155","13.0818","11.0496","10.9405","11.1596","11.1138"
"2015","13.2580","13.0770","13.4410","13.2039","13.2695","13.0883","13.4526","13.2393","11.1532","11.0445","11.2628","11.1563"
"2016","13.3168","13.1371","13.4983","13.3929","13.3401","13.1602","13.5220","13.3988","11.2308","11.1226","11.3397","11.1990"
"2017","13.5143","13.3354","13.6950","13.5845","13.5496","13.3702","13.7307","13.5602","11.3009","11.1938","11.4089","11.2418"
"2018","13.8320","13.6529","14.0128","13.7789","13.8803","13.7006","14.0617","13.7235","11.2847","11.1788","11.3913","11.2848"
