"Pancreas"
"Preliminary Trends in SEER Age-Adjusted Incidence Rates, 2000-2024"
"Delay-adjusted SEER Incidence Rate, All Races / Ethnicities, All Ages By Sex, Preliminary Estimates (Selected Registries 2000-2024)"

"","Female","Female","Female","Female","Male","Male","Male","Male"
"","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","10.9852","10.6448","11.3341","10.7166","14.0244","13.5666","14.4935","13.8441"
"2001","10.8267","10.4900","11.1717","10.8207","13.8113","13.3607","14.2729","13.9603"
"2002","10.9746","10.6371","11.3204","10.9258","13.7334","13.2895","14.1880","14.0775"
"2003","10.9731","10.6372","11.3171","11.0320","14.0059","13.5594","14.4632","14.1957"
"2004","11.1930","10.8555","11.5387","11.1392","14.3249","13.8767","14.7835","14.3149"
"2005","11.1162","10.7805","11.4600","11.2475","14.2336","13.7899","14.6878","14.4350"
"2006","11.3561","11.0170","11.7032","11.3568","14.4733","14.0278","14.9292","14.5562"
"2007","11.3157","10.9789","11.6605","11.4671","14.8859","14.4390","15.3430","14.6784"
"2008","11.7641","11.4232","12.1130","11.5786","15.1568","14.7095","15.6141","14.8016"
"2009","11.7337","11.3941","12.0811","11.6911","15.3980","14.9519","15.8539","14.9259"
"2010","11.8086","11.4698","12.1553","11.8047","15.0001","14.5628","15.4470","15.0512"
"2011","11.9153","11.5767","12.2616","11.9194","15.2994","14.8628","15.7455","15.1775"
"2012","12.0385","11.7015","12.3830","12.0352","15.1505","14.7211","15.5893","15.3049"
"2013","11.8644","11.5330","12.2034","12.1522","15.4032","14.9752","15.8403","15.4334"
"2014","12.0970","11.7634","12.4381","12.2703","15.6028","15.1772","16.0372","15.5630"
"2015","12.3677","12.0325","12.7102","12.3895","15.5017","15.0806","15.9316","15.6936"
"2016","12.3525","12.0191","12.6932","12.5099","15.4927","15.0751","15.9190","15.8254"
"2017","12.6296","12.2956","12.9709","12.6315","16.3100","15.8870","16.7415","15.9582"
"2018","12.8000","12.4666","13.1405","12.7542","16.2753","15.8576","16.7014","16.0922"
"2019","12.9926","12.6589","13.3333","12.8782","16.2926","15.8776","16.7160","16.2273"
"2020","12.3155","11.9916","12.6466","13.0033","15.6438","15.2410","16.0549","16.3635"
"2021","13.2302","12.8958","13.5717","13.1297","16.6134","16.2004","17.0346","16.5009"
"2022","13.1218","12.7913","13.4594","13.2573","16.2158","15.8118","16.6280","16.6394"
"2023","13.3263","12.9937","13.6660","13.3861","16.7480","16.3405","17.1635","16.7791"
"2024","13.8305","13.4802","14.1881","13.5162","16.9660","16.5444","17.3958","16.9199"


"Data Source:"
"-Preliminary Estimates (Selected Registries 2000-2024): SEER Incidence Data, February 2026 Submission (1975-2024). Registries included : Alaska Natives Registry, Connecticut, Hawaii, Illinios, Iowa, Louisiana, New Jersey, New York, San Francisco-Oakland SMSA, San Jose-Monterey, Seattle (Puget Sound), and Utah."
"-Selected Registries (2000-2023): November 2025 Submission (1975-2023). Registries included : Alaska Natives Registry, Connecticut, Hawaii, Illinios, Iowa, Louisiana, New Jersey, New York, San Francisco-Oakland SMSA, San Jose-Monterey, Seattle (Puget Sound), and Utah."
"-SEER 21 Registries (2000-2023) - NCI Official Statistics: SEER Incidence Data, November 2025 Submission (1975-2023), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-See Preliminary Cancer Incidence Rates and Trends, 2000-2024 [https://seer.cancer.gov/statistics/preliminary-estimates/] for details on the methodology used to create these Preliminary Estimates (Selected Registries 2000-2024) data series."
"-Preliminary Estimates (Selected Registries 2000-2024): The registries included in this analysis were selected based on a historical 95% completeness rate in the annual February submissions."
"-Selected Registries (2000-2023): The registries included in this analysis correspond to those in the Preliminary Estimates analysis to offer a comparison of the rates between the November 2025 and February 2026 data submissions."
"-Caution is advised when interpreting these figures, as these are preliminary results and are subject to change with the addition of data from future case submissions."
"Race/Ethnicity Coding:"
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Fri Sep 11 2026.
