"Pancreas"
"Recent Trends in U.S. Age-Adjusted Mortality Rates, 2000-2024"
"By Sex, All Races / Ethnicities, All Ages"

"","Female","Female","Female","Female","Male","Male","Male","Male"
"Year of Death","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","9.2655","9.1175","9.4153","9.2531","12.1497","11.9473","12.3546","12.1284"
"2001","9.3049","9.1574","9.4542","9.2863","12.1452","11.9445","12.3484","12.1729"
"2002","9.2339","9.0878","9.3818","9.3197","12.2280","12.0285","12.4299","12.2175"
"2003","9.2870","9.1415","9.4343","9.3532","12.0902","11.8943","12.2884","12.2622"
"2004","9.3134","9.1687","9.4599","9.3868","12.4062","12.2095","12.6052","12.3072"
"2005","9.5353","9.3898","9.6826","9.4205","12.4201","12.2255","12.6171","12.3523"
"2006","9.5559","9.4111","9.7025","9.4544","12.4317","12.2393","12.6263","12.3975"
"2007","9.4578","9.3147","9.6026","9.4884","12.5585","12.3672","12.7520","12.4429"
"2008","9.6712","9.5277","9.8164","9.5225","12.5021","12.3137","12.6927","12.4885"
"2009","9.5346","9.3930","9.6777","9.5567","12.4319","12.2460","12.6198","12.5343"
"2010","9.5860","9.4452","9.7285","9.5910","12.7140","12.5279","12.9021","12.5802"
"2011","9.5827","9.4428","9.7242","9.6255","12.5243","12.3418","12.7087","12.6263"
"2012","9.7115","9.5720","9.8527","9.6601","12.7049","12.5236","12.8881","12.6726"
"2013","9.5583","9.4211","9.6970","9.6948","12.5194","12.3414","12.6994","12.7190"
"2014","9.6448","9.5082","9.7829","9.7297","12.7204","12.5433","12.8994","12.7656"
"2015","9.7640","9.6276","9.9021","9.7646","12.7887","12.6132","12.9662","12.8124"
"2016","9.8948","9.7584","10.0326","9.7997","12.8206","12.6465","12.9966","12.8593"
"2017","9.8061","9.6719","9.9418","9.8349","13.0698","12.8964","13.2450","12.9064"
"2018","9.9150","9.7815","10.0500","9.8703","12.8919","12.7219","13.0636","12.9004"
"2019","9.9010","9.7689","10.0346","9.9057","12.8574","12.6898","13.0266","12.8943"
"2020","9.9040","9.7729","10.0366","9.8959","12.9009","12.7346","13.0689","12.8882"
"2021","9.9357","9.8056","10.0674","9.8861","13.0145","12.8489","13.1818","12.8821"
"2022","9.7877","9.6601","9.9167","9.8763","12.8918","12.7290","13.0562","12.8761"
"2023","9.8180","9.6921","9.9454","9.8665","12.7205","12.5617","12.8810","12.8700"
"2024","9.9246","9.7995","10.0510","9.8567","12.9131","12.7552","13.0726","12.8640"


"Data Source:"
"-U.S. Mortality Data (1969-2024), National Center for Health Statistics, CDC."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 6.0, March 2026, National Cancer Institute using the default settings. The underlying rates supplied to Joinpoint were exported from SEER*Stat at the maximum available precision and included the standard error for the rate."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"Cancer Site Coding:"
"-Cancer site cause of death is defined using the SEER Cause of Death Recode 1969+ (03/01/2018) [https://seer.cancer.gov/codrecode/1969_d03012018/index.html]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Fri Sep 11 2026.
